asset.name,collection_slug,total_price,quantity,asset.num_sales,payment_token.usd_price,total_price_usd
Adofo,adofo-x,0.259,1,5.0,1975.27,511.59493000000003
Adventure,gft-atari-50th-anniversary,0.29579999999999995,2,3.0,3950.54,584.284866
Adventurer,pxquest,3.639,6,16.0,11851.619999999999,7188.00753
AgentYechezkel,tennis-champs-genesis,0.265,1,2.0,1975.27,523.44655
AirElemental,pxmythics-genesis,0.2,1,2.0,1975.27,395.05400000000003
AirHugLeft,hugpass,0.08,1,3.0,1975.27,158.0216
AkiStory,akistory,3.665705,23,59.0,45431.21,7240.75711535
AldenfromCreamy,cyberbrokers,1.29,1,2.0,1975.27,2548.0983
AlfaCard,alfa-pass,0.505,1,2.0,1975.27,997.51135
AlgeriaDPunks,3dcountrypunks,0.0,1,1.0,1975.27,0.0
AlienApeYachtClub,alienapeyachtclub,0.02799,2,2.0,3950.54,55.2878073
AlienBoy,thealienboy,0.319,2,4.0,3950.54,630.11113
AlienFrensEvolution,alien-frens-evolution,0.929,3,6.0,5925.8099999999995,1835.02583
AlienFrensIncubator,alien-frens-incubator,0.438,1,2108.0,1975.27,865.16826
AlienScumFleet,alienscumfleet,0.031,1,2.0,1975.27,61.23337
AllAccessPass,freshdrops,0.35,1,1505.0,1975.8,691.53
AlleyKatz,alleykatzofficial,0.21,5,10.0,9876.35,414.80670000000003
AloewoodTerrace,cryptovoxels,1.7601057884896616,1,2.0,1975.27,3476.6841608299737
AlohaFrens,aloha-frens,0.09,3,5.0,5925.8099999999995,177.7743
Alpha,alphaleague,0.1,1,1.0,1975.27,197.52700000000002
AlphaElementary,alphaelementary,0.605,5,8.0,9876.35,1195.03835
AlphaGirlClub,alphagirlclub,2.136,7,13.0,13826.89,4219.17672
AlphaKong,alphakongsclub,0.8399,2,6.0,3950.54,1659.029273
AlphaMintMembership,alphamint,0.26,1,598.0,1975.27,513.5702
AlphaSharks,alphasharksofficial,0.9369310000000001,2,6.0,3950.54,1850.69169637
AlphieWhale,whaletogether,0.1889,2,3.0,3950.54,373.128503
Altitude,oncyber,1.25,1,714.0,1975.8,2469.75
Amaris,cyberbrokers,1.32,1,3.0,1975.27,2607.3564
AnamnesisCC,sugar-genesis,0.29,1,107.0,1975.27,572.8282999999999
AnatomyScienceApeClub,anatomyscienceapeclub,0.598,4,10.0,7901.08,1181.21146
AncientCoursesofFictionalRivers,ancient-courses-of-fictional-rivers-by-robert-hodg,0.205,1,1.0,1975.27,404.93035
AngryApe,angry-ape-army,2.49,1,1.0,1975.27,4918.4223
AngryApeArmyEvolution,angry-ape-army-evolution-collection,1.06,2,2.0,3950.54,2093.7862
AngryBoar,angryboarsnft,0.03,1,3.0,1975.27,59.2581
AngryPitbull,angry-pitbull-club,0.249,2,7.0,3950.54,491.84223
Animoon,theanimoon,0.617,2,3.0,3950.54,1218.74159
Annihilate,parallelalpha,0.03,1,939.0,1975.27,59.2581
AnthohnProcess,cyberbrokers,1.3,1,3.0,1975.27,2567.851
AntonymGenesis,antonymgenesis,3.974,7,20.0,13827.42,7850.03038
Ape,ecofriendlyapesclub,0.039,1,1.0,1975.27,77.03553
Ape,moodyapeclub-official,0.035,1,1.0,1975.27,69.13445
ApeClubCustomsBoredMaz,apeclubcustoms,0.0,1,1.0,1975.27,0.0
ApeDads,theapedads,0.179,1,3.0,1975.27,353.57333
ApeDaypack,10ktf,0.42,1,2.0,1975.27,829.6134
ApeFriends,ape-friends,0.023899999999999998,3,5.0,5925.8099999999995,47.208953
ApeGang,ape-gang-old,0.25,1,6.0,1975.27,493.8175
ApeInvader,apeinvaders,0.605,3,9.0,5925.8099999999995,1195.03835
ApeKidsClub,akc,1.0150000000000001,4,9.0,7901.08,2004.89905
ApeReunion,apereunion,0.17185,4,11.0,7901.08,339.4501495
ApeZuki,official-apezuki,0.0198,1,1.0,1975.27,39.110346
Apefrenz,zoofrenznft,2.7249999999999996,5,13.0,9876.35,5382.61075
ApesInSpace,apes-in-space-nft,0.23800000000000002,2,6.0,3950.54,470.11426000000006
ApesRUs,katun-apes-r-us,1.325,3,4.0,5926.34,2617.6302499999997
ApocalypticApes,apocalyptic-apes,1.5390000000000001,3,7.0,5925.8099999999995,3039.94053
ApocalypticLabs,apocalyptic-apes-juice,0.11,1,1.0,1975.27,217.2797
AprilArctic,cyberbrokers,3.5,1,2.0,1975.27,6913.445
AquaToolsMembership,aquatools,0.282,1,1277.0,1975.27,557.0261399999999
ArcadeLandLarge,arcade-land,1.783,2,8.0,3950.54,3521.90641
ArcadeLandStandard,arcade-land,3.025,4,14.0,7901.08,5975.19175
ArcadeLandXLarge,arcade-land,2.749,1,3.0,1975.27,5430.01723
ArchivedSeeker,ancient-avatar,0.8,1,2.0,1975.8,1580.64
ArchmagusMilooftheHall,forgottenruneswizardscult,2.69,1,1.0,1975.27,5313.4763
ArtilleryVolley,parallelalpha,0.16,1,994.0,1975.27,316.0432
Ascended,ascended-nft-official,0.21301,3,6.0,5926.34,420.805268
Ash,swampverseofficial,0.488,1,3.0,1975.27,963.9317599999999
AshleyLongshoreNFT,ashley-longshore-x-metagolden,2.532,4,15.0,7901.08,5001.38364
Asteroids,gft-atari-50th-anniversary,1.1636,8,18.0,15802.16,2298.424172
AstraChipmunksGenesis,astrachipmunksgenesis,0.188,1,1.0,1975.8,371.4504
AstroBull,astro-frens,0.039,1,1.0,1975.27,77.03553
AstroGator,astrogator-fam,0.3,1,1.0,1975.27,592.581
Asuna,livesofasuna,5.019,4,13.0,7901.08,9913.88013
Atom,atomverse-genesis,0.084,1,1.0,1975.27,165.92268
AudrisTurbine,galverse,0.219,1,2.0,1975.27,432.58413
Avastar,avastar,0.3265,2,3.0,3950.54,644.925655
AverageCreature,average-creatures,0.2918,7,8.0,13826.89,576.383786
AwakenedApefrenz,zoofrenz-apefrenz-2-0,0.121,1,2.0,1975.8,239.0718
AxolotlGold,metacraft-season-pass-2022,0.073,1,4.0,1975.27,144.19471
Azuki,azuki,145.16989999999998,12,40.0,23703.239999999998,286749.74837299995
AzukiApeSocialClub,azukiapesocialclub,0.33999999999999997,3,8.0,5925.8099999999995,671.5917999999999
AzukiMfer,azuki-mfer,0.1718,11,21.0,21727.97,339.351386
BAMC,baby-ape-mutant-club,0.2969,6,10.0,11851.619999999999,586.457663
BAPETAVERSE,bapetaverse-official,1.37,1,5.0,1975.27,2706.1199
BASTARDGANPUNKV,bastard-gan-punks-v2,0.1999,1,3.0,1975.27,394.856473
BDCMCG,baddogscompany,0.5,1,1.0,1975.27,987.635
BEAN,beans-dumb-ways-to-die,0.6539999999999999,4,8.0,7901.08,1291.82658
BEAR,unbearablebears,0.75,1,1.0,1975.27,1481.4524999999999
BFFFriendshipBracelet,bff-friendship-bracelets,0.95,1,2.0,1975.27,1876.5065
BITMENEVOWAREα,bitmen-evoware,0.95,1,215.0,1975.27,1876.5065
BONEYARDSKULLFIRE,skulliesboneyard,0.1107,3,72.0,1975.27,218.66238900000002
BOONJI,boonjiproject,0.118,1,3.0,1975.27,233.08185999999998
BPAC,baby-princess-ape-club-bpac,0.025,1,5.0,1975.8,49.395
BStarz,b-starz,0.03,1,1.0,1975.27,59.2581
BUTTHEAD,buttheads-real,0.0857,2,3.0,3950.54,169.280639
BYOLAND,byoland,1.17,1,3.0,1975.27,2311.0659
BYOPILL,byopill,2.6399999999999997,2,6.0,3950.54,5214.712799999999
BYOVAPE,byovape,0.55,1,2915.0,1975.27,1086.3985
BabyApeClub,baby-ape-club-nft,0.188,1,1.0,1975.27,371.35076
BabyDoge,babydogearmy,0.38,1,1.0,1975.27,750.6026
BabyGhost,babyghosts,0.13779999999999998,3,5.0,5925.8099999999995,272.192206
BabyMouse,anonymice-babies,0.44,1,2.0,1975.27,869.1188
BadBoredBunny,boredbadbunny,0.629,2,4.0,3950.54,1242.44483
