total_price,quantity,asset.num_sales,total_price_usd,Negative,Neutral,Positive,Retweets,Replies,Likes,Followers,Favourites
0.18975,1,5.0,226.109895,0.012567185801463333,0.7543605866811286,0.2330722290949463,2.864130434782609,4.478260869565218,9.445652173913043,28808.92391304348,4901.195652173913
0.1,1,1.0,119.162,0.0077346200123429,0.0210361182689666,0.9712292551994324,0.0,1.0,3.0,1056.0,8247.0
0.2033530769230769,1,1.6153846153846154,242.3195935230769,0.00046211390012595457,0.4450128270307852,0.5545250659766183,1.4090909090909092,1.5909090909090908,4.409090909090909,2869.6363636363635,5386.863636363636
0.055,1,3.0,65.53909999999999,0.0467170971098246,0.5685179688640258,0.3847649328456911,2.289156626506024,1.5783132530120483,16.698795180722893,5653.361445783133,14604.903614457831
0.13,1,1.0,154.9106,0.0005722101193635943,0.46321669717518876,0.5362110884161666,4.0,2.0285714285714285,19.2,1951.142857142857,7049.0
0.39,1,553.0,464.7318,0.00098256785422558,0.7054643725743517,0.29355304827913636,1.8,1.4,11.2,1652.2,1063.6
0.028,1,3.0,33.365359999999995,0.028344464031462475,0.6625549145503634,0.3091006242121055,1.63681592039801,1.0696517412935322,7.029850746268656,2762.268656716418,10134.626865671642
0.259,1,5.0,308.62958,0.00035188805486534996,0.5048217182047665,0.4948263734113425,1.0,0.0,3.0,9046.5,30.0
0.1478999999999999,1,1.5,176.24059799999998,0.01912984138554327,0.5553894117390574,0.4254807487817363,3.218905472636816,1.2388059701492538,9.233830845771145,1669.8308457711444,2699.7114427860697
0.6064999999999999,1,2.6666666666666665,722.7175299999999,0.0005443564926584125,0.6450756238967491,0.3543800360275781,6.583333333333333,5.666666666666667,11.875,3179.1666666666665,8163.25
0.1593784782608695,1,2.565217391304348,189.91858226521737,0.025294313952356894,0.5734840987040299,0.4012215863023595,8.808290155440414,6.870466321243524,18.367875647668395,3012.1709844559587,4120.906735751295
0.013995,1,1.0,16.676721899999997,0.13357278414398682,0.7020776153843723,0.16434962118033908,167.9090909090909,51.04545454545455,184.5,3683.0,3194.1363636363635
0.1595,1,2.0,190.06339,0.05584973432055603,0.600887489557528,0.34326277832374374,8.313432835820896,7.462686567164179,15.412935323383085,7221.109452736318,18399.199004975126
0.3096666666666667,1,2.0,369.0049933333333,0.04057410032053546,0.5601403787685683,0.39928552252581057,14.388297872340425,10.26063829787234,35.638297872340424,2525.590425531915,11834.712765957447
0.438,1,2254.0,521.9295599999999,0.0003753312921617,0.9985734224319458,0.0010511914733797,0.0,2.0,4.0,1292.0,13317.0
0.031,1,2.0,36.94022,0.0022986623539159004,0.612467693675381,0.3852336451079911,2.076923076923077,1.5384615384615385,5.153846153846154,1278.4615384615386,6043.923076923077
0.35,1,1521.0,415.8175,0.00021962615428487998,0.9790612816810608,0.020719072874635418,1.6,0.6,4.2,5338.4,22198.4
0.0419999999999999,1,2.0,50.04803999999999,0.03024297828971553,0.7364982841969341,0.23325873579568138,1.0298507462686568,0.7014925373134329,5.293532338308458,864.2089552238806,7807.587064676617
0.03,1,1.6666666666666667,35.7486,0.1228097182344451,0.45968994244079414,0.4175003254980159,1.1666666666666667,1.1666666666666667,9.833333333333334,585.6666666666666,3397.8333333333335
0.1,1,1.0,119.162,0.03669894629368607,0.6555238688180446,0.3077771892110569,4.507462686567164,2.0049751243781095,10.497512437810945,3121.7064676616915,5678.407960199005
0.121,1,1.6,144.18601999999998,0.023654085825962363,0.4853075968265849,0.49103832087982613,4.185714285714286,2.807142857142857,21.22142857142857,1005.1928571428572,6447.714285714285
0.3051428571428571,1,1.8571428571428568,363.6143314285714,0.0003198765133407428,0.05617718621541102,0.9435029389216235,0.24378109452736318,0.7313432835820896,3.557213930348259,113.34328358208955,314.4776119402985
0.41995,1,3.0,500.420819,0.0013207744426229277,0.6510465230393392,0.34763269068207586,1.6388888888888888,1.5555555555555556,5.888888888888889,3575.4444444444443,5113.111111111111
0.4684655,1,3.5,558.2328591099999,0.00206881034318935,0.4331961829545132,0.5647350167952633,0.4166666666666667,0.5,3.75,4184.5,3485.5
0.09445,1,1.5,112.548509,0.0033888325560837,0.0018019721610471,0.9948091506958008,6.0,0.0,9.0,322.0,505.0
1.25,1,719.0,1485.0625,0.00029782917408733,0.5010624573566019,0.4986397046945058,1.8,1.1,6.3,2287.6,9371.0
0.1495,1,2.5,178.14718999999997,0.06257518376610198,0.6995351851462639,0.23788961793628105,1.9836065573770492,1.5573770491803278,9.737704918032787,1782.688524590164,6610.868852459016
0.205,1,1.0,244.2821,0.001730790361762,0.997779905796051,0.0004892974393442,0.0,0.0,0.0,1135.0,33.0
2.49,1,1.0,2967.1338,0.07177990711768086,0.40441123310925564,0.5238088749465533,2.642857142857143,1.4285714285714286,7.428571428571429,3681.785714285714,6652.785714285715
